"","hcode","ancode","age","agecat","sample","FMD_cELISA","FMD_CHEKIT","FMD_EITB","FMD_iELISA","FMD_VNT_A","FMD_VNT_O","FMD_VNT_SAT2","PbP.A","PbP.O","PbP.SAT2","monlast","Date","FMDS_O","FMDS_A","FMDS_SAT2"
"1",1,1,2,1,1,13,6.8,1,31,0.7526,0.7526,2.4082,NA,NA,NA,6,"2000-04-17",0,0,1
"2",1,2,6,2,1,4,26.7,1,69,0.7526,0.7526,2.8598,NA,NA,NA,6,"2000-04-17",0,0,1
"3",1,3,4,2,1,10,6.4,1,75,0.9031,0.7526,2.7093,NA,NA,NA,6,"2000-04-17",0,0,1
"4",1,4,2,1,1,44,9.5,1,22,0.7526,1.8062,2.2577,NA,NA,NA,6,"2000-04-17",1,0,1
"5",1,5,2,1,1,5,27.4,1,101,0.7526,1.6557,3.0103,NA,NA,NA,6,"2000-04-17",0,0,1
"6",1,6,0.83,1,1,71,1.7,0,1,0.7526,0.9031,2.2577,NA,NA,NA,6,"2000-04-17",0,0,1
"7",1,7,0.75,1,1,74,1,0,1,0.7526,0.7526,1.2041,NA,NA,NA,6,"2000-04-17",0,0,0
"8",1,8,6,2,1,33,5.1,0,9,0.9031,1.6557,2.2577,NA,NA,NA,6,"2000-04-17",0,0,1
"9",1,9,5,2,1,19,8.1,1,29,2.4082,0.9031,2.1072,NA,NA,NA,6,"2000-04-17",0,1,1
"10",1,10,7,2,1,12,8.1,1,22,1.6557,1.3546,1.9567,NA,NA,NA,6,"2000-04-17",0,0,1
"11",2,1,1,1,1,82,0.3,0,0,0.7526,0.7526,1.5052,NA,NA,NA,7,"2000-04-17",0,0,0
"12",2,2,0.83,1,1,95,1,0,0,0.7526,0.7526,1.0536,NA,NA,NA,7,"2000-04-17",0,0,0
"13",2,3,6,2,1,11,17.2,1,60,1.0536,2.2577,2.5588,NA,NA,NA,7,"2000-04-17",1,0,1
"14",2,4,2,1,1,121,12.8,1,18,0.7526,0.7526,2.1072,NA,NA,NA,7,"2000-04-17",0,0,1
"16",2,6,8,2,1,6,16.9,1,73,1.3546,1.2041,1.9567,NA,NA,NA,7,"2000-04-17",0,0,1
"17",2,7,8,2,1,3,30.1,1,72,1.9567,1.6557,2.4082,NA,NA,NA,7,"2000-04-17",0,1,1
"19",2,9,2,1,1,14,3.7,1,36,0.9031,1.8062,2.1072,NA,NA,NA,7,"2000-04-17",1,0,1
"20",2,10,3,2,1,8,5.4,1,51,0.7526,0.7526,1.9567,NA,NA,NA,7,"2000-04-17",0,0,1
"21",3,1,7,NA,2,3,30.4,NA,NA,1.9567,1.2041,2.8598,NA,NA,NA,3,"2000-04-18",0,1,1
"22",3,2,3,NA,2,9,4.4,NA,NA,2.1072,1.2041,1.6557,NA,NA,NA,3,"2000-04-18",0,1,0
"23",3,3,4,NA,2,9,20.9,NA,NA,1.6557,1.0536,2.1072,NA,NA,NA,3,"2000-04-18",0,0,1
"24",3,4,4,NA,2,3,28.4,NA,NA,1.8062,1.0536,2.2577,NA,NA,NA,3,"2000-04-18",0,1,1
"25",3,5,1,NA,2,27,2.7,NA,NA,0.7526,1.2041,1.9567,NA,NA,NA,3,"2000-04-18",0,0,1
"26",3,6,1,NA,2,95,5.4,NA,NA,0.7526,0.7526,1.2041,NA,NA,NA,3,"2000-04-18",0,0,0
"27",3,7,1,NA,2,45,1,NA,NA,1.3546,0.7526,1.8062,NA,NA,NA,3,"2000-04-18",0,0,1
"28",3,8,1,NA,2,60,1,NA,NA,0.7526,1.0536,1.9567,NA,NA,NA,3,"2000-04-18",0,0,1
"29",3,9,3,NA,2,4,18.9,NA,NA,1.6557,0.7526,1.9567,NA,NA,NA,3,"2000-04-18",0,0,1
"30",3,10,1,NA,2,12,5.1,NA,NA,0.7526,0.7526,2.7093,NA,NA,NA,3,"2000-04-18",0,0,1
"31",3,11,4,NA,2,3,16.9,NA,NA,1.5052,1.0536,1.8062,NA,NA,NA,3,"2000-04-18",0,0,1
"32",3,12,5,NA,2,50,2.4,NA,NA,2.2577,1.3546,2.1072,NA,NA,NA,3,"2000-04-18",0,1,1
"35",3,15,5,NA,2,22,4.1,NA,NA,1.8062,1.3546,2.2577,NA,NA,NA,3,"2000-04-18",0,1,1
"36",3,16,4,2,1,44,2.4,0,6,0.7526,1.0536,1.8062,0,0,0,3,"2000-04-18",0,0,1
"38",3,18,3,2,1,9,10.5,1,41,1.9567,1.0536,1.8062,0,0,0,3,"2000-04-18",0,1,1
"39",3,19,5,2,1,25,8.1,1,41,1.5052,1.3546,2.5588,0,0,0,3,"2000-04-18",0,0,1
"41",3,21,1,NA,2,103,3.5,NA,NA,0.7526,0.7526,1.3546,NA,NA,NA,3,"2000-04-18",0,0,0
"42",3,22,0.670000016689301,NA,2,63,2.3,NA,NA,0.7526,0.7526,1.6557,NA,NA,NA,3,"2000-04-18",0,0,0
