CENTRE_COD,HERD_CODE,ANIMAL_COD,MOUTH_LESI,COM_MOUTH,FOOT_LESIO,COM_FOOT
VDI,3,11,0,,0,
VDI,3,12,0,,0,
VDI,3,13,0,,0,
VDI,3,14,0,,0,
VDI,3,15,0,,0,
VDI,3,16,0,,0,
VDI,3,17,0,,0,
VDI,3,18,0,,0,
VDI,3,19,0,,0,
VDI,3,20,0,,0,
VDI,3,21,0,,0,
VDI,3,22,0,,0,
VDI,3,23,0,,0,
VDI,3,24,0,,0,
VDI,3,25,0,,0,
VDI,3,26,0,,0,
VDI,3,27,0,,0,
VDI,3,28,0,,0,
VDI,3,29,0,,0,
VDI,3,30,0,,0,
VMR,31,1,0,,0,
VMR,31,2,0,,1,DISRUPTION OF HOOF GROWTH
VMR,31,3,0,,1,DISRUPTION OF HOOF GROWTH
VMR,31,4,0,,1,DISRUPTION OF HOOF GROWTH
VMR,31,5,0,,0,
VMR,31,6,0,,0,
VMR,31,7,1,old lesions both sides of dorsal tongue 1*1.5cm,0,
VMR,31,8,0,,0,
VMR,31,9,0,,0,
VMR,31,10,0,,0,
BAT,32,2,1,old lesions on dorsal tongue 2*3 &2*2cm,0,
BAT,32,3,1,old lesions on dorsal tongue 3*3cm,0,
BAT,32,4,0,,0,
BAT,32,5,0,,0,
BAT,32,6,0,,0,
BAT,32,7,0,,0,
BAT,32,8,0,,0,
BAT,32,9,0,,0,
BAT,32,10,0,,0,
BAT,33,1,0,,0,
BAT,33,2,0,,0,
BAT,33,3,0,,0,
BAT,33,4,0,,0,
BAT,33,5,0,,0,
BAT,33,6,0,,0,
BAT,33,7,0,,0,
BAT,33,8,0,,0,
BAT,33,9,0,,0,
BAT,33,10,0,,0,
BRO,34,1,0,,0,
BRO,34,2,0,,0,
BRO,34,3,0,,0,
BRO,34,4,0,,0,
BRO,34,5,1,small wound on base of tongue,0,
BRO,34,6,0,,0,
BRO,34,7,0,,0,
BRO,34,8,0,,1,break in hoof growth
BRO,34,9,0,,0,
BRO,34,10,0,,0,
BRO,35,1,0,,0,
BRO,35,2,0,,0,
BRO,35,3,0,,0,
BRO,35,4,0,,1,disruption in hoof growth
BRO,35,5,0,,0,
BRO,35,6,0,,0,
BRO,35,7,1,small lesion on dorsal tongue 1*1cm,0,
BRO,35,8,0,,0,
BRO,35,9,0,,0,
BRO,35,10,0,,0,
BAT,36,1,1,old lesion dorsal tongue 4x3cm,0,
BAT,36,2,1,large old lesion LHS dorsal tongue 4x5cm; small old lesion RHS dorsl tongue 0.5x0.5 cm,0,
BAT,36,3,0,,0,
BAT,36,4,0,,0,
BAT,36,5,0,,1,break in growth of hooves
BAT,36,6,0,,1,break in growth of hooves
BAT,36,7,0,,0,
BAT,36,8,0,,0,
BAT,36,9,0,,0,
BAT,36,10,0,,0,
BSO,37,1,0,,0,
BSO,37,2,0,,0,
BSO,37,3,1,small old lesion dorsal tongue 1x0.5 cm,0,
BSO,37,4,1,old lesion dorsal tongue 0.5x3 cm,0,
BSO,37,5,0,,1,disruption of gowth of hooves
BSO,37,6,0,,0,
BSO,37,7,0,,0,
BSO,37,8,0,,0,
BSO,37,9,0,,0,
BSO,37,10,0,,0,
BSO,38,6,0,,0,
BSO,38,7,0,,0,
BSO,38,8,1,old lesion both sides of dorsal tongue 2x1 cm,0,
BSO,38,9,0,,0,
BSO,38,10,0,,0,
BSO,38,11,0,,0,
BSO,38,12,0,,0,
BSO,38,13,1,large old lesion RHS dorsal tongue 3x3 cm,0,
BSO,38,14,0,,1,break in growth of hooves
BSO,38,15,0,,0,
BBO,39,1,1,old lesion dorsal tongue 1x1 cm,0,
BBO,39,2,0,,0,
BBO,39,3,0,,0,
BBO,39,4,1,old lesion dorsal tongue 1.5x3 cm,0,
BBO,39,5,0,,0,
BBO,39,6,0,,0,
BBO,39,7,0,,0,
BBO,39,8,0,,0,
BBO,39,9,1,couple of small erosions dorsal tongue 1x0.5 cm,1,disruption of growth of hooves
BBO,40,1,1,small lesion dorsal tongue 0.5x0.5 cm,0,
BBO,40,2,0,,0,
BBO,40,3,1,"multiple old lesions dorsal tongue, 1x2cm; 2x4cm; 1x1 cm; 0.5x3 cm",0,
BBO,40,4,0,,0,
BBO,40,5,1,"two old lesions LHS dorsal tongue, 1x2 cm; 1x1.5cm",0,
BBO,40,6,0,,0,
BBO,40,7,0,,0,
BBO,40,8,0,,0,
BBO,40,9,0,,0,
BBO,40,10,0,,0,
BBO,41,1,0,,1,break in growth of hooves
BBO,41,2,0,,0,
BBO,41,3,0,,0,
BBO,41,4,1,old lesion LHS of tongue,0,
BBO,41,5,0,,0,
BBO,41,7,0,,0,
BBO,41,8,0,,0,
BBO,41,10,0,,0,
BMM,43,1,0,,1,ulcer RH bulb of heel
BMM,43,2,0,,0,
BMM,43,3,0,,0,
BMM,43,4,1,cut? Dorsal tongue 1x0.5 cm,0,
BMM,43,5,0,,0,
BMM,43,6,0,,1,break in growth of hooves
BMM,43,7,0,,0,
BMM,43,8,0,,0,
BMM,43,9,0,,0,
BMM,43,10,0,,0,
VWM,45,1,0,,0,
VWM,45,2,0,,0,
VWM,45,3,1,old lesion dorsal tongue 3x0.5 cm,0,
VWM,45,4,0,,0,
VWM,45,5,1,old lesion on dorsal tongue (2x2 cm),0,
VWM,45,6,0,,0,
VWM,45,7,0,,0,
VWM,45,8,0,,0,
VWM,45,9,0,,0,
VWM,45,10,0,,0,
VWM,46,1,1,old lesion dorsal tongue (1x1.5 cm),1,break in growth of hooves
VWM,46,2,1,old wound on LHS dorsal tongue,0,
VWM,46,3,0,,0,
VWM,46,4,0,,0,
VWM,46,5,0,,0,
VWM,46,6,0,,0,
VWM,46,7,1,old lesion dorsal tongue 0.5x0.5 cm,0,
VWM,46,8,0,,0,
VWM,46,9,0,,0,
VWM,46,10,0,,0,
FWU,47,1,0,,0,
FWU,47,2,0,,0,
FWU,47,3,0,,0,
FWU,47,4,0,,0,
FWU,47,5,0,,0,
FWU,47,6,1,"wound dorsal tongue, 1.5x0.5cm",0,
FWU,47,7,0,,0,
FWU,47,8,1,old lesion 2x3cm on dorsal tongue,0,
FWU,47,9,0,,0,
FWU,47,10,0,,0,
MYG,48,1,0,,0,
MYG,48,2,0,,0,
MYG,48,3,0,,0,
MYG,48,4,1,old wound dorsal tongue (1x0.5 cm),0,
MYG,48,5,0,,0,
MYG,48,6,0,,0,
MYG,48,7,0,,0,
MYG,48,8,0,,0,
MYG,48,9,0,,1,break in the growth of the hooves
MYG,48,10,0,,0,
MNI,49,1,0,,0,
MNI,49,2,0,,0,
MNI,49,3,0,,0,
MNI,49,4,1,old lesions on dorsal tongue; 4x1.5cm; 1x1cm; 3x1cm,1,break in the growth of the hooves
MNI,49,5,1,"old lesion on dorsal tongue, 1.5x1 cm",0,
MNI,49,6,0,,0,
MNI,49,7,0,,0,
MNI,49,8,1,"old lesion dorsal tongue, LHs 1x2cm; RHs 1x1cm",0,
MNI,49,9,0,,0,
MNI,49,10,0,,0,
MNI,50,3,0,,0,
MNI,50,4,0,,0,
MNI,50,5,0,,0,
MNI,50,6,0,,0,
MNI,50,7,0,,0,
MNI,50,8,0,,0,
MNI,50,9,0,,0,
MNI,50,10,0,,0,
MNI,50,1,0,,0,
MNI,50,2,0,,0,
MNI,51,1,0,,1,break in growth of hooves
MNI,51,2,0,,0,
MNI,51,3,0,,0,
MNI,51,4,0,,0,
MNI,51,5,0,,0,
MNI,51,6,0,,0,
MNI,51,7,0,,0,
MNI,51,8,0,,0,
MNI,51,9,1,"old lesion dorsal tongue, 2.5x1cm smaller ones dotted on dorsal tongue",0,
MNI,51,10,0,,0,
MYG,52,1,1,"old lesion dorsal tongue, 2x1cm",0,
MYG,52,2,0,,0,
MYG,52,3,0,,1,break in the growth of hooves
MYG,52,4,1,"old lesion dorsal tongue, 2x2cm",0,
MYG,52,5,1,lesion LHS 1x1cm; RHS 0.5x0.5,0,
MYG,52,6,0,,0,
MYG,52,8,0,,0,
MYG,52,9,0,,0,
MYG,52,10,0,,0,
MFA,53,6,0,,0,
MFA,53,7,0,,0,
MFA,53,8,1,"old lesions dorsal tongue, both sides, 4x4cm, couple of old lesions on dental pad",0,
MFA,53,9,1,small old lesion on RHs dorsal tongue 0.5x0.5cm,0,
MFA,53,10,0,,0,
MFA,53,11,0,,0,
MFA,53,12,0,,0,
MFA,53,13,0,,0,
MFA,53,14,0,,0,
MFA,53,15,0,,0,
MFA,54,1,1,small old lesion RHS dorsal tongue 1x1cm,0,
MFA,54,2,1,small old lesion 0.5x1cm on the tongue,0,
MFA,54,3,0,,0,
MFA,54,4,0,,0,
MFA,54,5,0,,0,
MFA,54,6,1,small old lesion RHs dorsal tongue 1.5x0.5cm,0,
MFA,54,7,0,,0,
MFA,54,8,0,,0,
MFA,54,9,0,,0,
MFA,54,10,0,,0,
MFA,55,1,1,"old lesion dorsal tongue, 2x2cm",0,
MFA,55,2,0,,0,
MFA,55,3,0,,0,
MFA,55,4,0,,0,
MFA,55,5,1,old lesion LHS dorsal tongue 0.5x0.5cm,1,thickem interdigital skin on both forelimbs
MFA,55,6,1,large old lesion dorsal tongue 3x3cm,0,
MFA,55,7,0,,0,
MFA,55,8,0,,0,
MFA,55,9,0,,0,
MFA,55,10,0,,0,
MFA,56,8,1,old lesion RHs dorsal tongue 1.5x1.5cm,1,break in the growth of the hooves
MFA,56,9,0,,0,
MFA,56,10,0,,0,
